sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabricade;prado;3;10;2018-07-13;5000000;microempresarial
femenino;servicio;recreativoeducativo;barrio caicedo;1;9;2017-10-30;6000000;microempresarial
femenino;comercio;tienda;aranjuez;2;4;2017-08-03;7300000;microempresarial
masculino;comercio;variedades;cabecera san cristobal;3;60;2017-11-20;7000000;microempresarial
femenino;comercio;fabricade;robledo;2;7;2017-02-23;5000000;microempresarial
femenino;comercio;variedades;picachito;1;6;2017-05-31;7000000;microempresarial
femenino;industria;fabricade;guayabal;3;15;2016-02-20;2000000;microempresarial
femenino;comercio;tienda;carpinelo;1;1;2017-02-14;3300000;microempresarial
masculino;comercio;variedades;belalcazar;2;5;2018-05-07;7800000;microempresarial
femenino;comercio;variedades;manrique central no. 1;1;4;2018-05-03;7800000;microempresarial
femenino;industria;fabricade;manrique central no. 2;2;3;2017-02-28;4500000;microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90;2016-12-23;13000000;agropecuaria
femenino;comercio;comidasrapidas;andalucia;2;2;2018-04-12;7800000;microempresarial
masculino;industria;fabricade;san javier no.1;1;13;2018-08-23;4000000;microempresarial
masculino;servicio;variedades;belencito;2;13;2018-07-30;7800000;microempresarial
masculino;comercio;miscelanea;centro admtivo;3;10;2018-02-14;1000000;microempresarial
femenino;comercio;variedades;cabecera san antonio ;2;80;2017-11-16;7000000;microempresarial
femenino;servicio;cafeeinternet;manrique central no. 1;3;4;2019-04-29;8000000;microempresarial
masculino;comercio;tienda;villa hermosa;3;8;2018-06-27;5000000;microempresarial
femenino;comercio;ventadecalzado;playon de los ;2;2;2017-02-27;7000000;microempresarial
femenino;comercio;productosdebelleza;buenos aires;3;9;2017-07-24;7300000;microempresarial
masculino;comercio;tienda;manrique central no. 1;2;4;2018-09-14;6000000;microempresarial
femenino;comercio;tienda;popular;2;1;2018-10-11;6000000;microempresarial
femenino;comercio;almacenderopaen;robledo;2;7;2018-02-15;6000000;microempresarial
femenino;comercio;variedades;tricentenario;3;5;2017-11-20;4000000;microempresarial
masculino;servicio;barberia;calasanz;2;12;2017-09-26;7377000;microempresarial
masculino;industria;fabricade;aranjuez;3;4;2016-10-24;6500000;microempresarial
femenino;comercio;comidasrapidas;buenos aires;2;9;2019-06-28;1500000;microempresarial
masculino;comercio;variedades;andalucia;2;2;2018-08-17;7800000;microempresarial
femenino;servicio;peluqueria;pedregal;3;6;2017-10-27;7300000;microempresarial
femenino;servicio;jardineria;la francia;2;2;2017-06-12;7377000;microempresarial
femenino;comercio;variedades;santa cruz;2;2;2017-06-14;4000000;microempresarial
femenino;comercio;tienda;san javier no.1;2;13;2018-02-06;7800000;microempresarial
femenino;comercio;variedades;la floresta;3;12;2017-09-05;7300000;microempresarial
femenino;comercio;variedades;belen;3;16;2016-09-16;6890000;microempresarial
masculino;comercio;tienda;las brisas;3;5;2018-01-15;6000000;microempresarial
femenino;comercio;peluqueria;castilla;3;5;2017-08-11;2500000;microempresarial
masculino;industria;fabricadealimentos;san javier no.1;2;13;2016-10-27;6800000;microempresarial
femenino;comercio;almacenderopaen;cabecera san antonio ;2;80;2016-09-22;4000000;microempresarial
masculino;industria;variedades;cabecera san antonio ;2;80;2017-07-24;5000000;credioportuno
masculino;industria;fabricade;guayabal;2;15;2016-03-02;4000000;microempresarial
masculino;industria;fabricade;belen;2;16;2016-05-24;6500000;microempresarial
femenino;comercio;comidasrapidas;santander;2;6;2018-07-27;1200000;microempresarial
femenino;comercio;almacenderopaen;prado;3;10;2017-11-20;7000000;microempresarial
femenino;comercio;comidasrapidas;santa cruz;2;2;2018-03-22;1500000;microempresarial
masculino;industria;fabricadetraperos;aranjuez;3;4;2016-02-24;2000000;microempresarial
femenino;comercio;variedades;castilla;3;5;2017-02-15;4000000;microempresarial
masculino;industria;fabricadealimentos;san javier no.2;3;13;2016-02-29;6890000;microempresarial
masculino;industria;fabricade;san javier no.1;1;13;2017-08-15;6000000;microempresarial
masculino;servicio;variedades;pedregal;3;6;2017-04-24;7000000;microempresarial
masculino;comercio;panaderia;cabecera san antonio ;2;80;2017-04-27;3000000;microempresarial
masculino;servicio;mantenimientoen;la milagrosa;2;9;2018-05-16;7000000;microempresarial
masculino;comercio;variedades;la floresta;3;12;2016-08-16;6000000;microempresarial
femenino;comercio;fabricade;san javier no.1;1;13;2017-10-05;7300000;microempresarial
masculino;comercio;tienda;cabecera san antonio ;3;80;2018-05-21;5500000;microempresarial
femenino;comercio;tiendadehelados;robledo;3;7;2018-05-23;7800000;microempresarial
femenino;comercio;variedades;tricentenario;3;5;2017-04-27;7000000;microempresarial
femenino;comercio;miscelanea;villa hermosa;3;8;2016-12-19;6890000;microempresarial
masculino;servicio;mantenimientoen;andalucia;1;2;2016-01-22;6890000;microempresarial
femenino;comercio;tienda;bombona no. 1;3;10;2016-10-05;4000000;microempresarial
masculino;industria;fabricade;santa cruz;2;2;2016-09-30;6890000;microempresarial
femenino;comercio;almacenderopaen;manrique oriental;2;3;2017-02-08;1200000;microempresarial
femenino;comercio;fabricade;villa liliam;1;13;2019-02-06;7800000;microempresarial
masculino;comercio;tienda;kennedy;2;6;2018-09-27;5000000;microempresarial
femenino;comercio;variedades;robledo;2;7;2016-10-28;6000000;microempresarial
femenino;comercio;tienda;santa cruz;2;2;2016-04-04;4000000;microempresarial
femenino;comercio;variedades;popular;2;1;2016-02-29;6500000;microempresarial
masculino;comercio;comidasrapidas;doce de octubre no.1;2;6;2018-05-21;5000000;microempresarial
masculino;servicio;bares;san javier no.1;2;13;2018-07-16;5000000;microempresarial
masculino;industria;fabricade;buenos aires;3;9;2018-03-06;7800000;microempresarial
femenino;comercio;peluqueria;pedregal;3;6;2017-04-18;7000000;microempresarial
femenino;comercio;almacenderopaen;robledo;2;7;2018-07-03;4000000;microempresarial
femenino;comercio;tienda;robledo;2;7;2018-09-05;5000000;microempresarial
femenino;comercio;peluqueria;robledo;2;7;2018-05-03;6000000;microempresarial
femenino;agropecuaria;criaderodeanimales;la floresta;2;12;2016-06-14;6890000;microempresarial
masculino;comercio;almacenderopaen;popular;1;1;2018-10-18;7800000;microempresarial
masculino;comercio;tienda;la milagrosa;3;9;2018-02-20;5000000;microempresarial
femenino;comercio;restaurante;enciso;3;8;2017-03-09;7000000;microempresarial
femenino;servicio;organizaciony;pedregal;3;6;2017-10-12;7377000;microempresarial
femenino;industria;fabricade;el salvador;2;9;2017-06-06;7377000;microempresarial
femenino;industria;fabricade;manrique central no. 1;2;4;2018-04-27;3000000;microempresarial
masculino;servicio;restaurante;belen;3;16;2017-04-03;7350000;microempresarial
femenino;comercio;variedades;buenos aires;3;9;2017-06-20;1000000;microempresarial
masculino;comercio;tienda;aranjuez;1;4;2017-09-04;3000000;microempresarial
femenino;servicio;peluqueria;el salvador;2;60;2017-09-19;3000000;microempresarial
femenino;industria;fabricade;la esperanza;1;6;2018-04-12;3000000;microempresarial
femenino;comercio;panaderia;playon de los ;2;2;2016-11-22;6000000;microempresarial
femenino;comercio;almacenderopaen;santa cruz;2;2;2017-02-21;6000000;microempresarial
masculino;comercio;tienda;robledo;1;7;2017-12-18;5000000;microempresarial
femenino;comercio;comidasrapidas;robledo;3;7;2018-01-29;7800000;microempresarial
femenino;industria;fabricade;barrio caicedo;2;9;2017-03-16;5000000;microempresarial
masculino;servicio;variedades;santo domingo savio ;1;1;2018-02-28;7000000;microempresarial
femenino;comercio;variedades;aranjuez;2;4;2016-08-25;3000000;microempresarial
masculino;servicio;comidasrapidas;robledo;2;7;2017-03-29;7377000;microempresarial
femenino;comercio;tienda;popular;2;1;2017-06-29;7300000;microempresarial
femenino;comercio;almacenderopaen;robledo;2;7;2017-03-09;6000000;microempresarial
masculino;comercio;tienda;el salvador;3;9;2016-04-12;1000000;microempresarial
femenino;comercio;miscelanea;centro admtivo;1;10;2018-02-15;5000000;microempresarial
femenino;comercio;variedades;doce de octubre no.1;2;6;2017-03-02;3000000;microempresarial
masculino;comercio;fabricade;centro admtivo;2;10;2018-01-24;4500000;microempresarial
femenino;comercio;fabricadealimentos;campo valdes no. 2;1;3;2017-11-24;3000000;microempresarial
masculino;comercio;variedades;campo valdes no. 1;3;4;2018-06-06;4000000;microempresarial
femenino;servicio;fabricadearepas;villa hermosa;3;8;2016-08-24;1050000;microempresarial
femenino;industria;carpinteria;belen;3;16;2018-01-30;7800000;microempresarial
femenino;comercio;variedades;calasanz;3;12;2018-05-16;3000000;microempresarial
femenino;servicio;variedades;las palmas;2;10;2017-12-22;4400000;microempresarial
masculino;comercio;tienda;girardot;3;5;2019-05-16;8200000;microempresarial
masculino;servicio;drogueria;cabecera san cristobal;2;60;2018-07-12;7800000;microempresarial
femenino;industria;fabricade;moravia;2;4;2018-06-01;7800000;microempresarial
femenino;comercio;tienda;enciso;2;8;2017-04-18;7000000;microempresarial
femenino;comercio;almacenderopaen;cabecera san antonio ;2;80;2017-02-09;7377000;microempresarial
femenino;comercio;tiendadehelados;san javier no.1;2;13;2017-09-27;30000000;empresarialed
femenino;comercio;almacenderopaen;antonio nariño;2;13;2016-08-16;6890000;microempresarial
masculino;comercio;productosdemar;santa cruz;2;2;2018-06-07;2500000;microempresarial
femenino;agropecuaria;criaderodeanimales;cabecera san antonio ;2;80;2017-12-05;7300000;microempresarial
masculino;servicio;cafeeinternet;moravia;3;4;2018-02-13;3000000;microempresarial
femenino;industria;fabricade;popular;2;1;2018-08-24;7800000;microempresarial
masculino;industria;ebanistaria;manrique oriental;2;3;2016-12-06;6500000;microempresarial
femenino;comercio;variedades;las palmas;2;8;2018-05-22;4400000;microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90;2017-07-26;10000000;agropecuaria
femenino;comercio;variedades;aranjuez;3;4;2018-02-02;36;microempresarial
masculino;industria;fabricadecalzado;el socorro;2;13;2017-12-12;7370000;microempresarial
masculino;industria;fabricade;doce de octubre no.1;1;6;2016-07-27;6800000;microempresarial
femenino;comercio;fabricadehelados;manrique central no. 1;2;4;2016-10-04;6000000;microempresarial
femenino;comercio;miscelanea;lopez de mesa;3;7;2017-10-18;2000000;microempresarial
femenino;comercio;bares;aures no. 2;2;7;2019-03-01;2500000;microempresarial
masculino;servicio;variedades;popular;2;1;2017-08-31;5000000;microempresarial
femenino;comercio;miscelanea;buenos aires;2;9;2017-01-24;7370000;microempresarial
femenino;comercio;papeleria;cabecera san antonio ;2;80;2018-12-11;2000000;microempresarial
masculino;servicio;restaurante;centro admtivo;3;10;2017-11-08;4000000;microempresarial
femenino;comercio;carniceria;robledo;3;7;2017-10-13;4000000;microempresarial
femenino;industria;fabricade;castilla;2;5;2019-01-18;8200000;microempresarial
femenino;comercio;comidasrapidas;san jose de la cima no. ;1;3;2018-02-16;2000000;microempresarial
femenino;servicio;comidasrapidas;palermo;1;4;2016-08-18;3500000;microempresarial
masculino;servicio;tienda;13 de noviembre;1;8;2017-08-15;7200000;microempresarial
femenino;servicio;mantenimientoen;tejelo;3;5;2017-04-03;7377000;microempresarial
femenino;industria;fabricade;doce de octubre no.1;1;6;2016-04-15;2000000;microempresarial
